estimated_net,team,efficiency,efficiency_rank,value,value_rank
305,USC Upstate,-11.406469974612905,300,0.18535443954454736,301
306,Valparaiso,-11.08319384200519,295,0.11890550471250712,322
307,Southeastern La.,-11.915111326241203,305,0.1987647881527121,291
308,Campbell,-11.65670205185482,303,0.16615651739470674,311
309,ULM,-12.102629388851867,307,0.18456441177072247,302
310,Northern Ariz.,-14.893250365451717,322,0.29954254240795986,247
311,Elon,-13.281420502542074,314,0.18047117098593068,303
312,Eastern Ill.,-13.267316075588486,313,0.16206610124296994,313
313,Lafayette,-12.948592408179232,311,0.12973255242844148,321
314,Navy,-12.952983568108317,312,0.11719024289932056,323
315,Alabama St.,-13.798896754545185,317,0.1748536211299864,306
316,Charleston So.,-13.949832222013367,319,0.17629295992030233,305
317,DePaul,-12.933952569842916,310,0.07119315894495185,343
318,Bellarmine,-13.317548120351926,315,0.11341202965022498,325
319,Sacramento St.,-13.907597532850872,318,0.15600108912967303,314
320,Idaho,-14.713445775035625,321,0.17158133985150312,308
321,Coastal Carolina,-13.631598537866552,316,0.10197378612657435,331
322,Eastern Mich.,-16.052016810750725,327,0.2013785150122355,289
323,South Dakota,-14.66307252227346,320,0.13174024849613655,319
324,FDU,-15.738621103620059,325,0.17753779776936493,304
325,Prairie View,-16.039676043631133,326,0.15318198528709073,315
326,William & Mary,-14.952866515861007,323,0.10596628429930947,329
327,Alabama A&M,-16.48595517029024,330,0.16293615018772842,312
328,Ark.-Pine Bluff,-16.629134726704034,331,0.13975933113949252,318
329,Southern Ind.,-15.726201106467343,324,0.062261838370416656,350
330,UTRGV,-16.417422676231293,328,0.07235592627426295,342
331,NJIT,-17.322015730702592,332,0.11205010924407274,327
332,Northwestern St.,-16.438726433279427,329,0.07918701912600197,339
333,Tex. A&M-Commerce,-17.815277541713122,335,0.1402246744073606,317
334,Manhattan,-17.410485322032965,333,0.10960722402190232,328
335,Dartmouth,-17.68058912800651,334,0.0925974489393713,335
336,Tennessee Tech,-18.411654527203275,337,0.1004071516126906,332
337,Army West Point,-18.04665406056497,336,0.07740840089025601,340
338,Morgan St.,-19.18036597878237,341,0.11482788027841992,324
339,Hampton,-18.661955896031312,339,0.08228716161937798,338
340,New Orleans,-18.733081220945916,340,0.06984001853016596,344
341,Florida A&M,-19.180416599073844,342,0.0835431815729969,337
342,Cal Poly,-18.516878465668224,338,0.05246458196013249,355
343,Central Ark.,-19.774566583256803,345,0.10479667625461393,330
344,N.C. A&T,-19.874584563039388,346,0.09601842309658036,334
345,Loyola Maryland,-19.63758517841819,344,0.06697262043680635,345
346,Buffalo,-19.402473512861757,343,0.0581817628163684,354
347,LIU,-20.721500393877736,348,0.07728001696153886,341
348,UIW,-19.979257789918496,347,0.06428343228337252,347
349,Holy Cross,-21.138654989766845,351,0.08545344245317094,336
350,Southeast Mo. St.,-20.78423904341765,349,0.0596171493931024,352
351,UMES,-20.995963390010733,350,0.058880111473042125,353
352,Saint Francis (PA),-21.338681440868847,352,0.063790728406511,348
353,Siena,-23.35936815878133,355,0.05964101825968434,351
354,Detroit Mercy,-22.190137316684133,353,0.01810023722044342,361
355,Lindenwood,-24.115400165344404,357,0.06562804999031197,346
356,Stonehill,-23.1521875726938,354,0.028347898651739863,358
357,VMI,-23.398269227430518,356,0.025024127932301497,359
358,Pacific,-25.355107624827227,359,0.06258984509191362,349
359,Houston Christian,-24.14842454694639,358,0.044851336142439545,356
360,IUPUI,-27.260809501246197,360,0.041968876764701006,357
361,Coppin St.,-27.359318914205804,361,0.021117278763544106,360
362,Mississippi Val.,-34.797207151920105,362,0.016158021499746315,362
