season,team,conference,state,score,todisplay,bgcolor,fgcolor
1920,Dayton,Ind,Ohio,5,5-8,#FFFFFF,#000000
1920,Duquesne,Ind,Pennsylvania,6,6-10,#FFFFFF,#000000
1920,St. Bonaventure,Ind,New York,6,6-10,#FFFFFF,#000000
1920,Northern Colo.,Ind,Colorado,4,4-7,#FFFFFF,#000000
1920,Cincinnati,Ind,Ohio,5,5-9,#FFFFFF,#000000
1920,Tulane,Ind,Louisiana,5,5-9,#FFFFFF,#000000
1920,Bradley,Ind,Illinois,5,5-10,#FFFFFF,#000000
1920,Brown,Ind,Rhode Island,5,5-10,#FFFFFF,#000000
1920,Butler,Ind,Indiana,2,2-4,#FFFFFF,#000000
1920,Kent St.,Ind,Ohio,2,2-4,#FFFFFF,#000000
1920,Santa Clara,Ind,California,2,2-4,#FFFFFF,#000000
1920,Bowling Green,Ind,Ohio,4,4-9,#FFFFFF,#000000
1920,Lafayette,Ind,Pennsylvania,3,3-7,#FFFFFF,#000000
1920,Notre Dame,Ind,Indiana,5,5-13,#FFFFFF,#000000
1920,Rhode Island,Ind,Rhode Island,3,3-8,#FFFFFF,#000000
1920,Davidson,Ind,North Carolina,3,3-10,#FFFFFF,#000000
1920,Richmond,Ind,Virginia,3,3-10,#FFFFFF,#000000
1920,Saint Louis,Ind,Missouri,2,2-11,#FFFFFF,#000000
1920,Furman,Ind,South Carolina,2,2-12,#FFFFFF,#000000
1920,TCU,Ind,Texas,1,1-7,#FFFFFF,#000000
1920,Manhattan,Ind,New York,1,1-8,#FFFFFF,#000000
1920,Loyola Maryland,Ind,Maryland,1,1-11,#FFFFFF,#000000
1920,Oklahoma St.,Ind,Oklahoma,1,1-12,#FFFFFF,#000000
1920,Boston U.,Ind,Massachusetts,0,0-6,#FFFFFF,#000000
1920,New Mexico,Ind,New Mexico,0,0-3,#FFFFFF,#000000
1920,Saint Mary's (CA),Ind,California,0,0-6,#FFFFFF,#000000
1920,Xavier,Ind,Ohio,0,0-3,#FFFFFF,#000000
1920,Penn,Ivy,Pennsylvania,22,10-0 Ivy,#FFFFFF,#000000
1920,Princeton,Ivy,New Jersey,16,6-4 Ivy,#FFFFFF,#000000
1920,Yale,Ivy,Connecticut,16,6-4 Ivy,#FFFFFF,#000000
1920,Cornell,Ivy,New York,14,4-6 Ivy,#FFFFFF,#000000
1920,Columbia,Ivy,New York,4,3-7 Ivy,#FFFFFF,#000000
1920,Dartmouth,Ivy,New Hampshire,5,1-9 Ivy,#FFFFFF,#000000
1920,Colorado,MSAC,Colorado,6,6-4,#FFFFFF,#000000
1920,Colorado St.,MSAC,Colorado,5,5-5,#FFFFFF,#000000
1920,Denver,MSAC,Colorado,1,1-8,#FFFFFF,#000000
1920,Missouri,MVC,Missouri,17,17-1 MVC,#FFFFFF,#000000
1920,Kansas,MVC,Kansas,11,9-7 MVC,#FFFFFF,#000000
1920,Kansas St.,MVC,Kansas,10,8-8 MVC,#FFFFFF,#000000
1920,Oklahoma,MVC,Oklahoma,9,3-7 MVC,#FFFFFF,#000000
1920,Drake,MVC,Iowa,12,3-7 MVC,#FFFFFF,#000000
1920,Iowa St.,MVC,Iowa,6,2-10 MVC,#FFFFFF,#000000
1920,Stanford,PCC,California,12,9-1 PCC,#FFFFFF,#000000
1920,California,PCC,California,8,5-5 PCC,#FFFFFF,#000000
1920,Washington St.,PCC,Washington,10,6-7 PCC,#FFFFFF,#000000
1920,Washington,PCC,Washington,7,5-7 PCC,#FFFFFF,#000000
1920,Oregon St.,PCC,Oregon,7,5-7 PCC,#FFFFFF,#000000
1920,Oregon,PCC,Oregon,8,5-8 PCC,#FFFFFF,#000000
1920,Texas A&M,SWC,Texas,19,16-0 SWC,#FFFFFF,#000000
1920,Texas,SWC,Texas,10,4-6 SWC,#FFFFFF,#000000
1920,Rice,SWC,Texas,6,2-5 SWC,#FFFFFF,#000000
1920,SMU,SWC,Texas,6,2-8 SWC,#FFFFFF,#000000
1920,Baylor,SWC,Texas,8,1-7 SWC,#FFFFFF,#000000
1921,Michigan,B1G,Michigan,18,8-4 B1G,#FFFFFF,#000000
1921,Wisconsin,B1G,Wisconsin,13,8-4 B1G,#FFFFFF,#000000
1921,Purdue,B1G,Indiana,13,8-4 B1G,#FFFFFF,#000000
1921,Minnesota,B1G,Minnesota,10,7-5 B1G,#FFFFFF,#000000
1921,Illinois,B1G,Illinois,11,7-5 B1G,#FFFFFF,#000000
1921,Indiana,B1G,Indiana,15,6-5 B1G,#FFFFFF,#000000
1921,Iowa,B1G,Iowa,9,6-5 B1G,#FFFFFF,#000000
1921,Ohio St.,B1G,Ohio,4,2-10 B1G,#FFFFFF,#000000
1921,Northwestern,B1G,Illinois,2,1-11 B1G,#FFFFFF,#000000
1921,Arizona,Ind,Arizona,7,7-0,#FFFFFF,#000000
1921,Holy Cross,Ind,Massachusetts,2,2-0,#FFFFFF,#000000
1921,Navy,Ind,Maryland,18,18-1,#FFFFFF,#000000
1921,North Dakota,Ind,North Dakota,14,14-1,#FFFFFF,#000000
1921,VMI,Ind,Virginia,11,11-1,#FFFFFF,#000000
1921,New Mexico St.,Ind,New Mexico,9,9-1,#FFFFFF,#000000
1921,Tulsa,Ind,Oklahoma,18,18-2,#FFFFFF,#000000
1921,Wichita St.,Ind,Kansas,16,16-2,#FFFFFF,#000000
1921,Penn St.,Ind,Pennsylvania,14,14-2,#FFFFFF,#000000
1921,Akron,Ind,Ohio,11,11-2,#FFFFFF,#000000
1921,BYU,Ind,Utah,10,10-2,#FFFFFF,#000000
1921,Utah,Ind,Utah,5,5-1,#FFFFFF,#000000
1921,LSU,Ind,Louisiana,19,19-4,#FFFFFF,#000000
1921,Marquette,Ind,Wisconsin,14,14-3,#FFFFFF,#000000
1921,Ohio,Ind,Ohio,14,14-3,#FFFFFF,#000000
1921,St. Francis Brooklyn,Ind,New York,14,14-3,#FFFFFF,#000000
1921,Butler,Ind,Indiana,16,16-4,#FFFFFF,#000000
1921,UCLA,Ind,California,8,8-2,#FFFFFF,#000000
1921,Valparaiso,Ind,Indiana,19,19-5,#FFFFFF,#000000
1921,Virginia Tech,Ind,Virginia,19,19-5,#FFFFFF,#000000
1921,Idaho,Ind,Idaho,15,15-4,#FFFFFF,#000000
1921,Niagara,Ind,New York,15,15-4,#FFFFFF,#000000
1921,North Dakota St.,Ind,North Dakota,15,15-4,#FFFFFF,#000000
1921,Arizona St.,Ind,Arizona,11,11-3,#FFFFFF,#000000
1921,Army West Point,Ind,New York,18,18-5,#FFFFFF,#000000
1921,Nevada,Ind,Nevada,10,10-3,#FFFFFF,#000000
1921,Seton Hall,Ind,New Jersey,13,13-4,#FFFFFF,#000000
1921,Bucknell,Ind,Pennsylvania,12,12-4,#FFFFFF,#000000
1921,Lafayette,Ind,Pennsylvania,11,11-4,#FFFFFF,#000000
1921,Colgate,Ind,New York,16,16-6,#FFFFFF,#000000
1921,The Citadel,Ind,South Carolina,8,8-3,#FFFFFF,#000000
1921,William & Mary,Ind,Virginia,8,8-3,#FFFFFF,#000000
1921,Virginia,Ind,Virginia,13,13-5,#FFFFFF,#000000
1921,Georgetown,Ind,D.C.,10,10-4,#FFFFFF,#000000
1921,Southern California,Ind,California,10,10-4,#FFFFFF,#000000
1921,Western Mich.,Ind,Michigan,12,12-5,#FFFFFF,#000000
1921,Creighton,Ind,Nebraska,13,13-6,#FFFFFF,#000000
1921,Indiana St.,Ind,Indiana,15,15-7,#FFFFFF,#000000
1921,Buffalo,Ind,New York,12,12-6,#FFFFFF,#000000
1921,Northern Colo.,Ind,Colorado,6,6-3,#FFFFFF,#000000
1921,Saint Louis,Ind,Missouri,12,12-6,#FFFFFF,#000000
1921,Vermont,Ind,Vermont,10,10-5,#FFFFFF,#000000
1921,Loyola Chicago,Ind,Illinois,7,7-4,#FFFFFF,#000000
1921,Temple,Ind,Pennsylvania,7,7-4,#FFFFFF,#000000
1921,Fordham,Ind,New York,15,15-9,#FFFFFF,#000000
1921,Michigan St.,Ind,Michigan,13,13-8,#FFFFFF,#000000
1921,Montana St.,Ind,Montana,8,8-5,#FFFFFF,#000000
1921,Duke,Ind,North Carolina,9,9-6,#FFFFFF,#000000
1921,Miami (OH),Ind,Ohio,9,9-6,#FFFFFF,#000000
1921,Montana,Ind,Montana,12,12-8,#FFFFFF,#000000
1921,North Carolina,Ind,North Carolina,12,12-8,#FFFFFF,#000000
1921,Utah St.,Ind,Utah,6,6-4,#FFFFFF,#000000
1921,Duquesne,Ind,Pennsylvania,10,10-7,#FFFFFF,#000000
1921,Pittsburgh,Ind,Pennsylvania,12,12-9,#FFFFFF,#000000
1921,Syracuse,Ind,New York,12,12-9,#FFFFFF,#000000
1921,Ole Miss,Ind,Mississippi,9,9-7,#FFFFFF,#000000
1921,Northern Ariz.,Ind,Arizona,9,9-7,#FFFFFF,#000000
1921,Canisius,Ind,New York,5,5-4,#FFFFFF,#000000
1921,Detroit Mercy,Ind,Michigan,10,10-8,#FFFFFF,#000000
1921,West Virginia,Ind,West Virginia,11,11-9,#FFFFFF,#000000
1921,Alabama,Ind,Alabama,12,12-10,#FFFFFF,#000000
1921,Bowling Green,Ind,Ohio,8,8-7,#FFFFFF,#000000
1921,Villanova,Ind,Pennsylvania,8,8-7,#FFFFFF,#000000
1921,Rhode Island,Ind,Rhode Island,9,9-8,#FFFFFF,#000000
1921,St. John's (NY),Ind,New York,10,10-9,#FFFFFF,#000000
1921,Davidson,Ind,North Carolina,7,7-7,#FFFFFF,#000000
1921,Cincinnati,Ind,Ohio,10,10-11,#FFFFFF,#000000
1921,Harvard,Ind,Massachusetts,9,9-10,#FFFFFF,#000000
1921,Florida,Ind,Florida,5,5-6,#FFFFFF,#000000
1921,Bradley,Ind,Illinois,7,7-9,#FFFFFF,#000000
1921,UConn,Ind,Connecticut,7,7-9,#FFFFFF,#000000
1921,Lehigh,Ind,Pennsylvania,6,6-8,#FFFFFF,#000000
1921,Wyoming,Ind,Wyoming,3,3-4,#FFFFFF,#000000
1921,Wake Forest,Ind,North Carolina,7,7-10,#FFFFFF,#000000
1921,Marshall,Ind,West Virginia,6,6-9,#FFFFFF,#000000
1921,Notre Dame,Ind,Indiana,9,9-14,#FFFFFF,#000000
1921,Vanderbilt,Ind,Tennessee,8,8-13,#FFFFFF,#000000
1921,Kent St.,Ind,Ohio,4,4-7,#FFFFFF,#000000
1921,Brown,Ind,Rhode Island,5,5-9,#FFFFFF,#000000
1921,NC State,Ind,North Carolina,6,6-14,#FFFFFF,#000000
1921,Xavier,Ind,Ohio,3,3-7,#FFFFFF,#000000
1921,George Washington,Ind,D.C.,4,4-10,#FFFFFF,#000000
1921,Saint Joseph's,Ind,Pennsylvania,4,4-10,#FFFFFF,#000000
1921,Santa Clara,Ind,California,2,2-5,#FFFFFF,#000000
1921,Dayton,Ind,Ohio,6,6-16,#FFFFFF,#000000
1921,Louisville,Ind,Kentucky,3,3-8,#FFFFFF,#000000
1921,Richmond,Ind,Virginia,4,4-13,#FFFFFF,#000000
1921,Oklahoma St.,Ind,Oklahoma,2,2-9,#FFFFFF,#000000
1921,St. Bonaventure,Ind,New York,2,2-13,#FFFFFF,#000000
1921,Toledo,Ind,Ohio,1,1-12,#FFFFFF,#000000
1921,Manhattan,Ind,New York,0,0-6,#FFFFFF,#000000
1921,Saint Mary's (CA),Ind,California,0,0-2,#FFFFFF,#000000
1921,TCU,Ind,Texas,0,0-3,#FFFFFF,#000000
1921,Penn,Ivy,Pennsylvania,21,9-1 Ivy,#FFFFFF,#000000
1921,Dartmouth,Ivy,New Hampshire,13,7-3 Ivy,#FFFFFF,#000000
1921,Cornell,Ivy,New York,12,6-4 Ivy,#FFFFFF,#000000
1921,Princeton,Ivy,New Jersey,14,4-6 Ivy,#FFFFFF,#000000
1921,Columbia,Ivy,New York,7,3-7 Ivy,#FFFFFF,#000000
1921,Yale,Ivy,Connecticut,9,1-9 Ivy,#FFFFFF,#000000
1921,Colorado,MSAC,Colorado,8,6-0 MSAC,#FFFFFF,#000000
1921,Colorado St.,MSAC,Colorado,4,2-4 MSAC,#FFFFFF,#000000
1921,Denver,MSAC,Colorado,2,0-5 MSAC,#FFFFFF,#000000
1921,Missouri,MVC,Missouri,17,17-1 MVC,#FFFFFF,#000000
1921,Nebraska,MVC,Nebraska,15,9-1 MVC,#FFFFFF,#000000
1921,Kansas St.,MVC,Kansas,14,11-4 MVC,#FFFFFF,#000000
1921,Kansas,MVC,Kansas,10,10-8 MVC,#FFFFFF,#000000
1921,Iowa St.,MVC,Iowa,10,6-8 MVC,#FFFFFF,#000000
1921,Oklahoma,MVC,Oklahoma,8,5-9 MVC,#FFFFFF,#000000
1921,Drake,MVC,Iowa,10,5-8 MVC,#FFFFFF,#000000
1921,Stanford,PCC,California,15,8-3 PCC,#FFFFFF,#000000
1921,California,PCC,California,19,8-3 PCC,#FFFFFF,#000000
1921,Washington,PCC,Washington,18,10-4 PCC,#FFFFFF,#000000
1921,Oregon,PCC,Oregon,15,8-4 PCC,#FFFFFF,#000000
1921,Washington St.,PCC,Washington,12,3-11 PCC,#FFFFFF,#000000
1921,Oregon St.,PCC,Oregon,6,2-14 PCC,#FFFFFF,#000000
1921,Kentucky,SoCon,Kentucky,13,13-1,#FFFFFF,#000000
1921,Georgia,SoCon,Georgia,13,13-4,#FFFFFF,#000000
1921,Clemson,SoCon,South Carolina,10,10-4,#FFFFFF,#000000
1921,Mississippi St.,SoCon,Mississippi,10,10-6,#FFFFFF,#000000
1921,Tennessee,SoCon,Tennessee,8,8-7,#FFFFFF,#000000
1921,Tulane,SoCon,Louisiana,7,7-10,#FFFFFF,#000000
1921,South Carolina,SoCon,South Carolina,7,7-11,#FFFFFF,#000000
1921,Auburn,SoCon,Alabama,5,5-8,#FFFFFF,#000000
1921,Georgia Tech,SoCon,Georgia,4,4-10,#FFFFFF,#000000
1921,Furman,SoCon,South Carolina,1,1-12,#FFFFFF,#000000
1921,Texas A&M,SWC,Texas,16,10-2 SWC,#FFFFFF,#000000
1921,Baylor,SWC,Texas,13,8-4 SWC,#FFFFFF,#000000
1921,Texas,SWC,Texas,13,9-5 SWC,#FFFFFF,#000000
1921,Rice,SWC,Texas,5,4-9 SWC,#FFFFFF,#000000
1921,SMU,SWC,Texas,6,0-11 SWC,#FFFFFF,#000000
1922,Purdue,B1G,Indiana,15,8-1 B1G,#FFFFFF,#000000
1922,Michigan,B1G,Michigan,15,8-4 B1G,#FFFFFF,#000000
1922,Wisconsin,B1G,Wisconsin,14,8-4 B1G,#FFFFFF,#000000
1922,Illinois,B1G,Illinois,14,7-5 B1G,#FFFFFF,#000000
1922,Iowa,B1G,Iowa,11,5-6 B1G,#FFFFFF,#000000
1922,Ohio St.,B1G,Ohio,8,5-7 B1G,#FFFFFF,#000000
1922,Minnesota,B1G,Minnesota,5,4-7 B1G,#FFFFFF,#000000
1922,Indiana,B1G,Indiana,10,3-7 B1G,#FFFFFF,#000000
1922,Northwestern,B1G,Illinois,7,3-9 B1G,#FFFFFF,#000000
1922,LSU,Ind,Louisiana,15,15-1,#FFFFFF,#000000
1922,North Texas,Ind,Texas,11,11-1,#FFFFFF,#000000
1922,Arizona St.,Ind,Arizona,10,10-1,#FFFFFF,#000000
1922,UCLA,Ind,California,9,9-1,#FFFFFF,#000000
1922,Army West Point,Ind,New York,17,17-2,#FFFFFF,#000000
1922,Seton Hall,Ind,New Jersey,14,14-2,#FFFFFF,#000000
1922,Niagara,Ind,New York,27,27-4,#FFFFFF,#000000
1922,Navy,Ind,Maryland,16,16-3,#FFFFFF,#000000
1922,Arizona,Ind,Arizona,10,10-2,#FFFFFF,#000000
1922,Ohio,Ind,Ohio,19,19-4,#FFFFFF,#000000
1922,Holy Cross,Ind,Massachusetts,14,14-3,#FFFFFF,#000000
1922,North Dakota St.,Ind,North Dakota,17,17-4,#FFFFFF,#000000
1922,Creighton,Ind,Nebraska,21,21-5,#FFFFFF,#000000
1922,Indiana St.,Ind,Indiana,12,12-3,#FFFFFF,#000000
1922,Utah,Ind,Utah,8,8-2,#FFFFFF,#000000
1922,UConn,Ind,Connecticut,15,15-4,#FFFFFF,#000000
1922,Vermont,Ind,Vermont,15,15-4,#FFFFFF,#000000
1922,Georgetown,Ind,D.C.,11,11-3,#FFFFFF,#000000
1922,Tulsa,Ind,Oklahoma,14,14-4,#FFFFFF,#000000
1922,Davidson,Ind,North Carolina,10,10-3,#FFFFFF,#000000
1922,William & Mary,Ind,Virginia,10,10-3,#FFFFFF,#000000
1922,Butler,Ind,Indiana,19,19-6,#FFFFFF,#000000
1922,BYU,Ind,Utah,9,9-3,#FFFFFF,#000000
1922,Marquette,Ind,Wisconsin,15,15-5,#FFFFFF,#000000
1922,Western Ky.,Ind,Kentucky,3,3-1,#FFFFFF,#000000
1922,Wichita St.,Ind,Kansas,12,12-4,#FFFFFF,#000000
1922,Harvard,Ind,Massachusetts,17,17-6,#FFFFFF,#000000
1922,Villanova,Ind,Pennsylvania,11,11-4,#FFFFFF,#000000
1922,Utah St.,Ind,Utah,8,8-3,#FFFFFF,#000000
1922,Santa Clara,Ind,California,13,13-5,#FFFFFF,#000000
1922,Richmond,Ind,Virginia,10,10-4,#FFFFFF,#000000
1922,St. Francis Brooklyn,Ind,New York,15,15-7,#FFFFFF,#000000
1922,Valparaiso,Ind,Indiana,15,15-7,#FFFFFF,#000000
1922,Colgate,Ind,New York,17,17-8,#FFFFFF,#000000
1922,Bradley,Ind,Illinois,12,12-6,#FFFFFF,#000000
1922,Montana,Ind,Montana,14,14-7,#FFFFFF,#000000
1922,Syracuse,Ind,New York,16,16-8,#FFFFFF,#000000
1922,TCU,Ind,Texas,8,8-4,#FFFFFF,#000000
1922,Cincinnati,Ind,Ohio,15,15-8,#FFFFFF,#000000
1922,Fordham,Ind,New York,13,13-7,#FFFFFF,#000000
1922,Miami (OH),Ind,Ohio,13,13-7,#FFFFFF,#000000
1922,Lafayette,Ind,Pennsylvania,11,11-6,#FFFFFF,#000000
1922,Wake Forest,Ind,North Carolina,11,11-6,#FFFFFF,#000000
1922,Western Mich.,Ind,Michigan,11,11-6,#FFFFFF,#000000
1922,Penn St.,Ind,Pennsylvania,9,9-5,#FFFFFF,#000000
1922,Ole Miss,Ind,Mississippi,7,7-4,#FFFFFF,#000000
1922,Duquesne,Ind,Pennsylvania,10,10-6,#FFFFFF,#000000
1922,VMI,Ind,Virginia,11,11-7,#FFFFFF,#000000
1922,Canisius,Ind,New York,6,6-4,#FFFFFF,#000000
1922,Pittsburgh,Ind,Pennsylvania,12,12-8,#FFFFFF,#000000
1922,Montana St.,Ind,Montana,11,11-8,#FFFFFF,#000000
1922,George Washington,Ind,D.C.,8,8-6,#FFFFFF,#000000
1922,Brown,Ind,Rhode Island,13,13-10,#FFFFFF,#000000
1922,Marshall,Ind,West Virginia,5,5-4,#FFFFFF,#000000
1922,St. Bonaventure,Ind,New York,12,12-10,#FFFFFF,#000000
1922,The Citadel,Ind,South Carolina,6,6-5,#FFFFFF,#000000
1922,Furman,Ind,South Carolina,8,8-7,#FFFFFF,#000000
1922,Florida,Ind,Florida,5,5-5,#FFFFFF,#000000
1922,Northern Ariz.,Ind,Arizona,5,5-5,#FFFFFF,#000000
1922,Vanderbilt,Ind,Tennessee,8,8-8,#FFFFFF,#000000
1922,Xavier,Ind,Ohio,9,9-9,#FFFFFF,#000000
1922,Michigan St.,Ind,Michigan,11,11-12,#FFFFFF,#000000
1922,St. John's (NY),Ind,New York,10,10-11,#FFFFFF,#000000
1922,Tulane,Ind,Louisiana,10,10-11,#FFFFFF,#000000
1922,Saint Joseph's,Ind,Pennsylvania,8,8-9,#FFFFFF,#000000
1922,Rhode Island,Ind,Rhode Island,7,7-8,#FFFFFF,#000000
1922,Toledo,Ind,Ohio,5,5-6,#FFFFFF,#000000
1922,Bucknell,Ind,Pennsylvania,8,8-10,#FFFFFF,#000000
1922,Lehigh,Ind,Pennsylvania,7,7-9,#FFFFFF,#000000
1922,Dayton,Ind,Ohio,6,6-8,#FFFFFF,#000000
1922,Loyola Maryland,Ind,Maryland,3,3-4,#FFFFFF,#000000
1922,New Mexico St.,Ind,New Mexico,3,3-4,#FFFFFF,#000000
1922,Buffalo,Ind,New York,5,5-7,#FFFFFF,#000000
1922,Akron,Ind,Ohio,5,5-8,#FFFFFF,#000000
1922,West Virginia,Ind,West Virginia,8,8-13,#FFFFFF,#000000
1922,Manhattan,Ind,New York,3,3-5,#FFFFFF,#000000
1922,South Carolina,Ind,South Carolina,7,7-12,#FFFFFF,#000000
1922,Temple,Ind,Pennsylvania,4,4-7,#FFFFFF,#000000
1922,Duke,Ind,North Carolina,6,6-12,#FFFFFF,#000000
1922,Notre Dame,Ind,Indiana,6,6-13,#FFFFFF,#000000
1922,Saint Louis,Ind,Missouri,4,4-9,#FFFFFF,#000000
1922,Bowling Green,Ind,Ohio,4,4-10,#FFFFFF,#000000
1922,Kent St.,Ind,Ohio,2,2-6,#FFFFFF,#000000
1922,Northern Colo.,Ind,Colorado,1,1-3,#FFFFFF,#000000
1922,Wyoming,Ind,Wyoming,2,2-7,#FFFFFF,#000000
1922,Detroit Mercy,Ind,Michigan,2,2-13,#FFFFFF,#000000
1922,Louisville,Ind,Kentucky,1,1-13,#FFFFFF,#000000
1922,Loyola Chicago,Ind,Illinois,0,0-6,#FFFFFF,#000000
1922,New Mexico,Ind,New Mexico,0,0-2,#FFFFFF,#000000
1922,Saint Mary's (CA),Ind,California,0,0-4,#FFFFFF,#000000
1922,Princeton,Ivy,New Jersey,20,8-2 Ivy,#FFFFFF,#000000
1922,Penn,Ivy,Pennsylvania,24,8-2 Ivy,#FFFFFF,#000000
1922,Dartmouth,Ivy,New Hampshire,13,6-4 Ivy,#FFFFFF,#000000
1922,Cornell,Ivy,New York,14,5-5 Ivy,#FFFFFF,#000000
1922,Columbia,Ivy,New York,6,2-8 Ivy,#FFFFFF,#000000
1922,Yale,Ivy,Connecticut,6,1-9 Ivy,#FFFFFF,#000000
1922,Colorado,MSAC,Colorado,3,3-5 MSAC,#FFFFFF,#000000
1922,Colorado St.,MSAC,Colorado,4,2-6 MSAC,#FFFFFF,#000000
1922,Denver,MSAC,Colorado,3,2-6 MSAC,#FFFFFF,#000000
1922,Missouri,MVC,Missouri,16,15-1 MVC,#FFFFFF,#000000
1922,Kansas,MVC,Kansas,16,15-1 MVC,#FFFFFF,#000000
1922,Drake,MVC,Iowa,14,12-4 MVC,#FFFFFF,#000000
1922,Iowa St.,MVC,Iowa,10,8-8 MVC,#FFFFFF,#000000
1922,Oklahoma,MVC,Oklahoma,9,8-8 MVC,#FFFFFF,#000000
1922,Nebraska,MVC,Nebraska,8,8-8 MVC,#FFFFFF,#000000
1922,Kansas St.,MVC,Kansas,3,3-13 MVC,#FFFFFF,#000000
1922,Idaho,PCC,Idaho,19,7-0 PCC,#FFFFFF,#000000
1922,Oregon St.,PCC,Oregon,21,10-2 PCC,#FFFFFF,#000000
1922,California,PCC,California,19,10-4 PCC,#FFFFFF,#000000
1922,Washington,PCC,Washington,13,11-5 PCC,#FFFFFF,#000000
1922,Stanford,PCC,California,8,4-6 PCC,#FFFFFF,#000000
1922,Southern California,PCC,California,7,1-3 PCC,#FFFFFF,#000000
1922,Washington St.,PCC,Washington,9,4-11 PCC,#FFFFFF,#000000
1922,Oregon,PCC,Oregon,7,0-16 PCC,#FFFFFF,#000000
1922,Virginia,SoCon,Virginia,17,5-0 SoCon,#FFFFFF,#000000
1922,Alabama,SoCon,Alabama,15,6-1 SoCon,#FFFFFF,#000000
1922,Georgia,SoCon,Georgia,10,4-1 SoCon,#FFFFFF,#000000
1922,Kentucky,SoCon,Kentucky,10,3-1 SoCon,#FFFFFF,#000000
1922,Auburn,SoCon,Alabama,5,2-1 SoCon,#FFFFFF,#000000
1922,North Carolina,SoCon,North Carolina,15,3-3 SoCon,#FFFFFF,#000000
1922,Virginia Tech,SoCon,Virginia,14,2-2 SoCon,#FFFFFF,#000000
1922,Georgia Tech,SoCon,Georgia,11,2-3 SoCon,#FFFFFF,#000000
1922,Tennessee,SoCon,Tennessee,12,1-3 SoCon,#FFFFFF,#000000
1922,NC State,SoCon,North Carolina,6,1-5 SoCon,#FFFFFF,#000000
1922,Clemson,SoCon,South Carolina,8,0-3 SoCon,#FFFFFF,#000000
1922,Mississippi St.,SoCon,Mississippi,12,0-4 SoCon,#FFFFFF,#000000
1922,Texas A&M,SWC,Texas,18,13-3 SWC,#FFFFFF,#000000
1922,Texas,SWC,Texas,20,14-4 SWC,#FFFFFF,#000000
1922,Baylor,SWC,Texas,10,8-8 SWC,#FFFFFF,#000000
1922,SMU,SWC,Texas,8,4-11 SWC,#FFFFFF,#000000
1922,Oklahoma St.,SWC,Oklahoma,5,1-4 SWC,#FFFFFF,#000000
1922,Rice,SWC,Texas,2,1-11 SWC,#FFFFFF,#000000
1923,Iowa,B1G,Iowa,13,11-1 B1G,#FFFFFF,#000000
1923,Wisconsin,B1G,Wisconsin,12,11-1 B1G,#FFFFFF,#000000
1923,Michigan,B1G,Michigan,11,8-4 B1G,#FFFFFF,#000000
1923,Illinois,B1G,Illinois,9,7-5 B1G,#FFFFFF,#000000
1923,Purdue,B1G,Indiana,9,7-5 B1G,#FFFFFF,#000000
1923,Indiana,B1G,Indiana,8,5-7 B1G,#FFFFFF,#000000
1923,Northwestern,B1G,Illinois,5,3-9 B1G,#FFFFFF,#000000
1923,Ohio St.,B1G,Ohio,4,1-11 B1G,#FFFFFF,#000000
1923,Minnesota,B1G,Minnesota,2,1-11 B1G,#FFFFFF,#000000
1923,Army West Point,Ind,New York,17,17-0,#FFFFFF,#000000
1923,North Texas,Ind,Texas,13,13-1,#FFFFFF,#000000
1923,Penn St.,Ind,Pennsylvania,13,13-1,#FFFFFF,#000000
1923,Akron,Ind,Ohio,12,12-1,#FFFFFF,#000000
1923,Marquette,Ind,Wisconsin,19,19-2,#FFFFFF,#000000
1923,Duquesne,Ind,Pennsylvania,16,16-2,#FFFFFF,#000000
1923,Montana St.,Ind,Montana,18,18-3,#FFFFFF,#000000
1923,Western Ky.,Ind,Kentucky,12,12-2,#FFFFFF,#000000
1923,Arizona,Ind,Arizona,17,17-3,#FFFFFF,#000000
1923,Butler,Ind,Indiana,17,17-3,#FFFFFF,#000000
1923,North Dakota St.,Ind,North Dakota,14,14-3,#FFFFFF,#000000
1923,Indiana St.,Ind,Indiana,20,20-5,#FFFFFF,#000000
