team,Est_WAB,WAB,WAB_diff
Marquette,-7.738,-8.0,0.262
Marshall,-9.179,-9.29,0.111
Maryland,-5.88,-5.7,-0.18
Massachusetts,-11.809,-11.98,0.171
McNeese,-0.269,-0.36,0.091
Memphis,-10.068,-10.18,0.112
Mercer,-9.065,-9.05,-0.015
Mercyhurst,-13.9,-13.84,-0.06
Merrimack,-7.146,-7.17,0.024
Miami (FL),3.639,3.65,-0.011
Miami (OH),1.678,1.57,0.108
Michigan,14.014,14.07,-0.056
Michigan St.,7.207,7.27,-0.063
Middle Tenn.,-9.539,-9.62,0.081
Milwaukee,-14.746,-14.7,-0.046
Minnesota,-4.442,-4.44,-0.002
Mississippi St.,-5.665,-5.79,0.125
Mississippi Val.,-25.922,-25.93,0.008
Missouri,0.854,0.93,-0.076
Missouri St.,-13.916,-14.0,0.084
Monmouth,-10.765,-10.87,0.105
Montana,-10.199,-10.18,-0.019
Montana St.,-9.426,-9.37,-0.056
Morehead St.,-9.408,-9.37,-0.038
Morgan St.,-13.815,-13.83,0.015
Mount St. Mary's,-13.537,-13.51,-0.027
Murray St.,-5.69,-5.86,0.17
N.C. A&T,-15.803,-15.9,0.097
N.C. Central,-13.593,-13.46,-0.133
NC State,0.579,0.48,0.099
NIU,-16.204,-16.22,0.016
NJIT,-13.265,-13.24,-0.025
Navy,-4.619,-4.68,0.061
Nebraska,7.093,7.14,-0.047
Nevada,-2.634,-2.87,0.236
New Hampshire,-16.942,-16.86,-0.082
New Haven,-13.613,-13.59,-0.023
New Mexico,-1.034,-1.18,0.146
New Mexico St.,-12.233,-12.36,0.127
New Orleans,-11.632,-11.65,0.018
Niagara,-18.943,-18.97,0.027
Nicholls,-13.685,-13.74,0.055
Norfolk St.,-14.024,-14.04,0.016
North Ala.,-18.105,-18.09,-0.015
North Carolina,5.08,5.09,-0.01
North Dakota,-12.136,-12.19,0.054
North Dakota St.,-4.498,-4.55,0.052
North Florida,-19.666,-19.58,-0.086
North Texas,-7.732,-7.91,0.178
Northeastern,-19.932,-20.04,0.108
Northern Ariz.,-17.894,-17.91,0.016
Northern Colo.,-8.278,-8.3,0.022
Northern Ky.,-10.69,-10.75,0.06
Northwestern,-4.22,-4.12,-0.1
Northwestern St.,-17.218,-17.29,0.072
Notre Dame,-5.724,-5.7,-0.024
Oakland,-9.404,-9.36,-0.044
Ohio,-11.833,-11.94,0.107
Ohio St.,2.58,2.68,-0.1
Oklahoma,-0.733,-0.73,-0.003
Oklahoma St.,-0.561,-0.75,0.189
Old Dominion,-16.415,-16.4,-0.015
Ole Miss,-4.317,-4.24,-0.077
Omaha,-13.361,-13.4,0.039
Oral Roberts,-18.274,-18.41,0.136
Oregon,-6.577,-6.63,0.053
Oregon St.,-8.502,-8.63,0.128
Pacific,-7.825,-7.82,-0.005
Penn,-6.425,-6.5,0.075
Penn St.,-7.688,-7.68,-0.008
Pepperdine,-15.927,-15.9,-0.027
Pittsburgh,-7.115,-7.16,0.045
Portland,-11.459,-11.49,0.031
Portland St.,-7.523,-7.55,0.027
Prairie View,-13.621,-13.66,0.039
Presbyterian,-14.195,-14.29,0.095
Princeton,-15.487,-15.48,-0.007
Providence,-5.429,-5.67,0.241
Purdue,9.056,9.12,-0.064
Purdue Fort Wayne,-10.62,-10.57,-0.05
Queens (NC),-7.805,-7.79,-0.015
Quinnipiac,-9.263,-9.26,-0.003
Radford,-11.958,-12.08,0.122
Rhode Island,-9.854,-9.99,0.136
Rice,-12.914,-13.05,0.136
Richmond,-11.444,-11.53,0.086
Rider,-20.453,-20.39,-0.063
Robert Morris,-7.815,-7.84,0.025
Rutgers,-5.812,-5.76,-0.052
SFA,-1.688,-1.8,0.112
SIUE,-11.021,-11.05,0.029
SMU,-0.214,-0.27,0.056
Sacramento St.,-16.134,-16.09,-0.044
Sacred Heart,-16.157,-16.15,-0.007
Saint Francis,-19.899,-19.95,0.051
Saint Joseph's,-4.785,-4.79,0.005
Saint Louis,1.145,0.96,0.185
Saint Mary's (CA),3.226,3.07,0.156
Saint Peter's,-9.123,-9.11,-0.013
Sam Houston,-6.57,-6.59,0.02
Samford,-10.411,-10.38,-0.031
San Diego,-14.575,-14.67,0.095
San Diego St.,-0.218,-0.44,0.222
San Francisco,-7.659,-7.73,0.071
San Jose St.,-14.502,-14.76,0.258
Santa Clara,1.846,1.81,0.036
Seattle U,-6.209,-6.17,-0.039
Seton Hall,-0.777,-1.04,0.263
Siena,-8.585,-8.62,0.035
South Alabama,-8.271,-8.36,0.089
South Carolina,-6.252,-6.3,0.048
South Carolina St.,-18.225,-18.16,-0.065
South Dakota,-12.518,-12.58,0.062
South Dakota St.,-13.671,-13.76,0.089
South Fla.,-0.64,-0.84,0.2
Southeast Mo. St.,-9.686,-9.69,0.004
Southeastern La.,-17.493,-17.59,0.097
Southern California,-1.397,-1.4,0.003
Southern Ill.,-9.972,-10.08,0.108
Southern Ind.,-20.94,-20.99,0.05
Southern Miss.,-11.886,-11.95,0.064
Southern U.,-12.12,-12.1,-0.02
Southern Utah,-16.435,-16.54,0.105
St. Bonaventure,-10.598,-10.69,0.092
St. John's (NY),7.199,6.86,0.339
St. Thomas (MN),-5.975,-6.0,0.025
Stanford,-1.04,-1.13,0.09
Stetson,-17.007,-16.98,-0.027
Stonehill,-18.237,-18.26,0.023
Stony Brook,-11.358,-11.44,0.082
Syracuse,-4.243,-4.32,0.077
TCU,2.303,2.25,0.053
Tarleton St.,-12.668,-12.79,0.122
Temple,-11.013,-11.19,0.177
Tennessee,4.155,4.21,-0.055
Tennessee St.,-6.142,-6.14,-0.002
Tennessee Tech,-15.039,-14.98,-0.059
Texas,-0.318,-0.26,-0.058
Texas A&M,1.313,1.22,0.093
Texas Southern,-13.791,-13.74,-0.051
Texas St.,-10.647,-10.73,0.083
Texas Tech,5.396,5.36,0.036
The Citadel,-19.285,-19.29,0.005
Toledo,-9.503,-9.59,0.087
Towson,-9.43,-9.54,0.11
Troy,-7.175,-7.2,0.025
Tulane,-9.432,-9.71,0.278
Tulsa,-1.688,-1.89,0.202
UAB,-6.534,-6.72,0.186
UAlbany,-18.289,-18.27,-0.019
UC Davis,-9.708,-9.79,0.082
UC Irvine,-6.811,-7.0,0.189
UC Riverside,-16.447,-16.44,-0.007
UC San Diego,-7.174,-7.22,0.046
UC Santa Barbara,-10.315,-10.42,0.105
UCF,1.952,1.85,0.102
UCLA,3.177,3.26,-0.083
UConn,8.662,8.45,0.212
UIC,-8.889,-9.02,0.131
UIW,-14.282,-14.36,0.078
ULM,-24.102,-24.1,-0.002
UMBC,-5.66,-5.65,-0.01
UMES,-18.221,-18.12,-0.101
UMass Lowell,-14.449,-14.35,-0.099
UNC Asheville,-12.773,-12.91,0.137
UNC Greensboro,-15.714,-15.72,0.006
UNCW,-3.31,-3.43,0.12
UNI,-5.511,-5.69,0.179
UNLV,-6.599,-6.81,0.211
USC Upstate,-14.631,-14.69,0.059
UT Arlington,-8.97,-9.11,0.14
UT Martin,-8.549,-8.57,0.021
UTEP,-15.778,-15.84,0.062
UTRGV,-8.852,-8.9,0.048
UTSA,-19.541,-19.64,0.099
Utah,-9.098,-9.18,0.082
Utah St.,3.321,3.06,0.261
Utah Tech,-8.964,-9.13,0.166
Utah Valley,-3.651,-3.81,0.159
VCU,1.546,1.44,0.106
VMI,-23.049,-23.06,0.011
Valparaiso,-8.678,-8.8,0.122
Vanderbilt,7.255,7.3,-0.045
Vermont,-10.103,-10.15,0.047
Villanova,3.445,3.2,0.245
Virginia,7.794,7.76,0.034
Virginia Tech,-0.745,-0.73,-0.015
Wagner,-14.206,-14.17,-0.036
Wake Forest,-2.71,-2.81,0.1
Washington,-3.842,-3.85,0.008
Washington St.,-12.023,-12.13,0.107
Weber St.,-11.86,-11.88,0.02
West Ga.,-13.149,-13.11,-0.039
West Virginia,-1.794,-1.9,0.106
Western Caro.,-11.142,-11.08,-0.062
Western Ill.,-23.545,-23.57,0.025
Western Ky.,-9.271,-9.33,0.059
Western Mich.,-14.91,-14.96,0.05
Wichita St.,-3.998,-4.18,0.182
William & Mary,-7.767,-7.85,0.083
Winthrop,-5.893,-5.88,-0.013
Wisconsin,5.165,5.24,-0.075
Wofford,-9.964,-9.96,-0.004
Wright St.,-7.644,-7.68,0.036
Wyoming,-5.955,-6.07,0.115
Xavier,-5.294,-5.52,0.226
Yale,-2.072,-2.1,0.028
Youngstown St.,-13.812,-13.83,0.018
