Game
"NET +6 (Strength +7, Resume +5) Home win: Akron vs. Central Mich. 87-71 (2025-01-07)"
"NET +5 (Strength +7, Resume +2) Home win: Akron vs. Alabama St. 97-78 (2024-11-24)"
"NET +5 (Strength +6, Resume +7) Neutral win: Akron vs. Jackson St. 68-50 (2024-12-21)"
"NET +3 (Strength +6, Resume +2) Home win: Akron vs. Northern Ky. 86-73 (2024-12-03)"
"NET +1 (Strength +0, Resume +3) Home win: Akron vs. Omaha 92-84 (2024-11-23)"
"NET +1 (Strength -2, Resume +9) Home win: Akron vs. Toledo 85-78 (2025-01-14)"
"NET +0 (Strength +4, Resume -8) Away loss: Akron vs. Princeton 75-76 (2024-12-30)"
"NET +0 (Strength -1, Resume +2) Home win: Akron vs. Lamar University 79-72 (2024-11-22)"
"NET -1 (Strength +0, Resume -7) Away loss: Akron vs. Arkansas St. 75-80 (2024-11-04)"
"NET -1 (Strength -4, Resume +6) Away win: Akron vs. Bowling Green 71-68 (2025-01-03)"
"NET -4 (Strength -6, Resume -1) Away loss: Akron vs. Saint Mary's (CA) 68-87 (2024-11-12)"
"NET -8 (Strength -9, Resume -13) Neutral loss: Akron vs. Yale 58-74 (2024-12-20)"
"NET -13 (Strength -16, Resume -16) Neutral loss: Akron vs. Milwaukee 81-100 (2024-12-15)"
"NET +2 (Strength +3, Resume +0) Home win: Alabama vs. UNC Asheville 110-54 (2024-11-04)"
"NET +1 (Strength +1, Resume +2) Neutral win: Alabama vs. Illinois 100-87 (2024-11-20)"
"NET +0 (Strength +1, Resume +3) Away win: Alabama vs. Texas A&M 94-88 (2025-01-11)"
"NET +0 (Strength +1, Resume +2) Neutral win: Alabama vs. Houston 85-80 (2024-11-26)"
"NET +0 (Strength +1, Resume +2) Home win: Alabama vs. Oklahoma 107-79 (2025-01-04)"
"NET +0 (Strength +1, Resume +2) Away win: Alabama vs. North Carolina 94-79 (2024-12-04)"
"NET +0 (Strength +1, Resume +2) Away win: Alabama vs. South Carolina 88-68 (2025-01-08)"
"NET +0 (Strength +0, Resume +4) Away win: Alabama vs. Kentucky 102-97 (2025-01-18)"
"NET +0 (Strength +0, Resume +1) Home win: Alabama vs. Creighton 83-75 (2024-12-14)"
"NET +0 (Strength +0, Resume +0) Home win: Alabama vs. South Dakota St. 105-82 (2024-12-29)"
"NET +0 (Strength +0, Resume +0) Home win: Alabama vs. Kent St. 81-54 (2024-12-22)"
"NET +0 (Strength +0, Resume +0) Home loss: South Alabama vs. Western Ill. 63-64 (2024-11-26)"
"NET +0 (Strength +0, Resume +0) Home loss: South Alabama vs. Old Dominion 63-71 (2025-01-11)"
"NET +0 (Strength +0, Resume +0) Away loss: South Alabama vs. TCU 49-58 (2024-12-16)"
"NET +0 (Strength +0, Resume +0) Away loss: South Alabama vs. Ole Miss 54-64 (2024-11-12)"
"NET +0 (Strength +0, Resume +0) Home loss: South Alabama vs. Central Mich. 70-74 (2024-11-04)"
"NET -1 (Strength +0, Resume +0) Home win: Alabama vs. McNeese 72-64 (2024-11-11)"
"NET -1 (Strength -1, Resume +1) Neutral win: Alabama vs. Rutgers 95-90 (2024-11-27)"
"NET -1 (Strength -1, Resume +0) Away loss: Alabama vs. Purdue 78-87 (2024-11-15)"
"NET -1 (Strength -1, Resume +0) Neutral loss: Alabama vs. Oregon 81-83 (2024-11-30)"
"NET -1 (Strength -2, Resume +0) Home win: Alabama vs. Arkansas St. 88-79 (2024-11-08)"
"NET -2 (Strength -2, Resume +0) Away win: Alabama vs. North Dakota 97-90 (2024-12-18)"
"NET -2 (Strength -2, Resume +0) Home loss: Alabama vs. Ole Miss 64-74 (2025-01-14)"
"NET +1 (Strength +0, Resume +3) Home win: Alabama A&M vs. Coastal Carolina 77-70 (2024-11-23)"
"NET +1 (Strength +0, Resume +0) Home loss: Alabama A&M vs. Samford 90-97 (2024-12-21)"
"NET +1 (Strength +0, Resume +0) Home win: Alabama A&M vs. Ark.-Pine Bluff 89-79 (2025-01-04)"
"NET +1 (Strength +0, Resume +0) Away loss: Alabama A&M vs. Jackson St. 93-103 (2025-01-13)"
"NET +1 (Strength +0, Resume +0) Away loss: Alabama A&M vs. Tennessee St. 71-81 (2024-11-16)"
"NET -1 (Strength +0, Resume +0) Home win: Alabama A&M vs. Mississippi Val. 79-67 (2025-01-06)"
"NET -1 (Strength +0, Resume +0) Away loss: Alabama A&M vs. UAB 67-96 (2024-12-18)"
"NET -1 (Strength +0, Resume +0) Away loss: Alabama A&M vs. Chattanooga 63-85 (2024-12-15)"
"NET -1 (Strength +0, Resume -1) Home loss: Alabama A&M vs. Alabama St. 65-69 (2025-01-18)"
"NET -1 (Strength +0, Resume -1) Away loss: Alabama A&M vs. Alcorn 52-62 (2025-01-11)"
"NET -1 (Strength +0, Resume -1) Home loss: Alabama A&M vs. South Carolina St. 70-82 (2024-11-22)"
"NET -2 (Strength +0, Resume -5) Home loss: Alabama A&M vs. IU Indy 83-88 (2024-11-25)"
"NET -2 (Strength -1, Resume +0) Away loss: Alabama A&M vs. Georgia 45-93 (2024-11-19)"
"NET -2 (Strength -1, Resume +0) Home loss: Alabama A&M vs. Lipscomb 44-82 (2024-11-30)"
