season,coachid,coach,team,todisplay,score,bgcolor,fgcolor,isseason,conference,state,bordercolor,firstseason,nextyear,w,l,confw,confl,tourneyscore
2024,donnie-jones-1,Donnie Jones,Stetson,"11-5 ASun
NCAA 64",32,#1121F7,#FFFFFF,4,A-Sun,Florida,black,2020.0,Return,22,13,11,5,0.1
2025,donnie-jones-1,Donnie Jones,Stetson,6-12 ASun,8,#FFFFFF,#000000,4,A-Sun,Florida,black,2020.0,Return,8,24,6,12,0.0
2026,donnie-jones-1,Donnie Jones,Stetson,4-5 ASun,8,#FFFFFF,#000000,4,A-Sun,Florida,black,2020.0,Last,8,14,4,5,0.0
2011,donnie-jones-1,Donnie Jones,UCF,6-10 CUSA,21,#FFFFFF,#000000,4,CUSA,Florida,black,2011.0,Return,21,12,6,10,0.0
2012,donnie-jones-1,Donnie Jones,UCF,10-6 CUSA,22,#FFFFFF,#000000,4,CUSA,Florida,black,2011.0,Return,22,11,10,6,0.0
2013,donnie-jones-1,Donnie Jones,UCF,9-7 CUSA,20,#FFFFFF,#000000,4,CUSA,Florida,black,2011.0,Return,20,11,9,7,0.0
2014,donnie-jones-1,Donnie Jones,UCF,4-14 Amer,13,#FFFFFF,#000000,4,AAC,Florida,black,2011.0,Return,13,18,4,14,0.0
2015,donnie-jones-1,Donnie Jones,UCF,5-13 Amer,12,#FFFFFF,#000000,4,AAC,Florida,black,2011.0,Return,12,18,5,13,0.0
2016,donnie-jones-1,Donnie Jones,UCF,6-12 Amer,12,#FFFFFF,#000000,4,AAC,Florida,black,2011.0,Fired,12,18,6,12,0.0
2017,donnie-jones-1,Donnie Jones,UCF,Fired,0,#FFFFFF,#000000,0,AAC,Florida,white,2011.0,Last,,,,,
2018,donnie-marsh-1,Donnie Marsh,Alabama A&M,3-15 SWAC,3,#FFFFFF,#000000,4,SWAC,Alabama,black,2018.0,Resigned,3,28,3,15,0.0
2019,donnie-marsh-1,Donnie Marsh,Alabama A&M,Resigned,0,#FFFFFF,#000000,0,SWAC,Alabama,white,2018.0,Last,,,,,
2001,donnie-marsh-1,Donnie Marsh,FIU,5-11 SB,8,#FFFFFF,#000000,4,Sun Belt,Florida,black,2001.0,Return,8,21,5,11,0.0
2002,donnie-marsh-1,Donnie Marsh,FIU,4-10 SB,10,#FFFFFF,#000000,4,Sun Belt,Florida,black,2001.0,Return,10,20,4,10,0.0
2003,donnie-marsh-1,Donnie Marsh,FIU,1-13 SB,8,#FFFFFF,#000000,4,Sun Belt,Florida,black,2001.0,Return,8,21,1,13,0.0
2004,donnie-marsh-1,Donnie Marsh,FIU,1-13 SB,5,#FFFFFF,#000000,4,Sun Belt,Florida,black,2001.0,Fired,5,22,1,13,0.0
2005,donnie-marsh-1,Donnie Marsh,FIU,Fired,0,#FFFFFF,#000000,0,Sun Belt,Florida,white,2001.0,Last,,,,,
2007,donnie-tyndall-1,Donnie Tyndall,Morehead St.,8-12 OVC,12,#FFFFFF,#000000,4,OVC,Kentucky,black,2007.0,Return,12,18,8,12,0.0
2008,donnie-tyndall-1,Donnie Tyndall,Morehead St.,12-8 OVC,15,#FFFFFF,#000000,4,OVC,Kentucky,black,2007.0,Return,15,15,12,8,0.0
2009,donnie-tyndall-1,Donnie Tyndall,Morehead St.,"12-6 OVC
NCAA 64",30,#0033A0,#FFCF00,4,OVC,Kentucky,black,2007.0,Return,20,16,12,6,0.1
2010,donnie-tyndall-1,Donnie Tyndall,Morehead St.,15-3 OVC,24,#FFFFFF,#000000,4,OVC,Kentucky,black,2007.0,Return,24,11,15,3,0.0
2011,donnie-tyndall-1,Donnie Tyndall,Morehead St.,"13-5 OVC
NCAA 32",40,#0033A0,#FFCF00,4,OVC,Kentucky,black,2007.0,Return,25,10,13,5,0.15
2012,donnie-tyndall-1,Donnie Tyndall,Morehead St.,10-6 OVC,18,#FFFFFF,#000000,4,OVC,Kentucky,black,2007.0,Left,18,15,10,6,0.0
2013,donnie-tyndall-1,Donnie Tyndall,Morehead St.,Southern Miss.,0,#FFFFFF,#000000,0,OVC,Kentucky,white,2007.0,Last,,,,,
2013,donnie-tyndall-1,Donnie Tyndall,Southern Miss.,12-4 CUSA,27,#FFFFFF,#000000,4,CUSA,Mississippi,black,2013.0,Return,27,10,12,4,0.0
2014,donnie-tyndall-1,Donnie Tyndall,Southern Miss.,13-3 CUSA,29,#FFFFFF,#000000,4,CUSA,Mississippi,black,2013.0,Left,29,7,13,3,0.0
2015,donnie-tyndall-1,Donnie Tyndall,Southern Miss.,Tennessee,0,#FFFFFF,#000000,0,CUSA,Mississippi,white,2013.0,Last,,,,,
2015,donnie-tyndall-1,Donnie Tyndall,Tennessee,7-11 SEC,16,#FFFFFF,#000000,4,SEC,Tennessee,black,2015.0,Scandal,16,16,7,11,0.0
2016,donnie-tyndall-1,Donnie Tyndall,Tennessee,NCAA violations,0,#FFFFFF,#000000,0,SEC,Tennessee,white,2015.0,Last,,,,,
2001,donny-daniels-1,Donny Daniels,Cal St. Fullerton,3-13 BWst,5,#FFFFFF,#000000,4,Big West,California,black,2001.0,Return,5,23,3,13,0.0
2002,donny-daniels-1,Donny Daniels,Cal St. Fullerton,2-16 BWst,5,#FFFFFF,#000000,4,Big West,California,black,2001.0,Return,5,22,2,16,0.0
2003,donny-daniels-1,Donny Daniels,Cal St. Fullerton,8-10 BWst,10,#FFFFFF,#000000,4,Big West,California,black,2001.0,Left,10,19,8,10,0.0
2004,donny-daniels-1,Donny Daniels,Cal St. Fullerton,UCLA (asst.),0,#FFFFFF,#000000,0,Big West,California,white,2001.0,Last,,,,,
2025,donny-lind-1,Donny Lind,Mount St. Mary's,"12-8 MAAC
NCAA 64",33,#002855,#FFFFFF,4,MAAC,Maryland,black,2025.0,Return,23,13,12,8,0.1
2026,donny-lind-1,Donny Lind,Mount St. Mary's,5-6 MAAC,9,#FFFFFF,#000000,4,MAAC,Maryland,black,2025.0,Last,9,13,5,6,0.0
2026,donte-jackson-1,Donte Jackson,Alabama A&M,4-3 SWAC,11,#FFFFFF,#000000,4,SWAC,Alabama,black,2026.0,Last,11,9,4,3,0.0
2018,donte-jackson-1,Donte Jackson,Grambling,13-5 SWAC,17,#FFFFFF,#000000,4,SWAC,Louisiana,black,2018.0,Return,17,14,13,5,0.0
2019,donte-jackson-1,Donte Jackson,Grambling,10-8 SWAC,17,#FFFFFF,#000000,4,SWAC,Louisiana,black,2018.0,Return,17,17,10,8,0.0
2020,donte-jackson-1,Donte Jackson,Grambling,11-7 SWAC,17,#FFFFFF,#000000,4,SWAC,Louisiana,black,2018.0,Return,17,15,11,7,0.0
2021,donte-jackson-1,Donte Jackson,Grambling,9-6 SWAC,12,#FFFFFF,#000000,4,SWAC,Louisiana,black,2018.0,Return,12,12,9,6,0.0
2022,donte-jackson-1,Donte Jackson,Grambling,8-9 SWAC,12,#FFFFFF,#000000,4,SWAC,Louisiana,black,2018.0,Return,12,20,8,9,0.0
2023,donte-jackson-1,Donte Jackson,Grambling,15-3 SWAC,24,#FFFFFF,#000000,4,SWAC,Louisiana,black,2018.0,Return,24,9,15,3,0.0
2024,donte-jackson-1,Donte Jackson,Grambling,"14-4 SWAC
NCAA 64",31,#EAA921,#000000,4,SWAC,Louisiana,black,2018.0,Return,21,15,14,4,0.1
2025,donte-jackson-1,Donte Jackson,Grambling,7-11 SWAC,12,#FFFFFF,#000000,4,SWAC,Louisiana,black,2018.0,Left,12,22,7,11,0.0
2026,donte-jackson-1,Donte Jackson,Grambling,Alabama A&M,0,#FFFFFF,#000000,0,SWAC,Louisiana,white,2018.0,Last,,,,,
2017,donyell-marshall-1,Donyell Marshall,Central Conn. St.,4-14 NEC,6,#FFFFFF,#000000,4,NEC,Connecticut,black,2017.0,Return,6,23,4,14,0.0
2018,donyell-marshall-1,Donyell Marshall,Central Conn. St.,7-11 NEC,14,#FFFFFF,#000000,4,NEC,Connecticut,black,2017.0,Return,14,18,7,11,0.0
2019,donyell-marshall-1,Donyell Marshall,Central Conn. St.,5-13 NEC,11,#FFFFFF,#000000,4,NEC,Connecticut,black,2017.0,Return,11,20,5,13,0.0
2020,donyell-marshall-1,Donyell Marshall,Central Conn. St.,3-15 NEC,4,#FFFFFF,#000000,4,NEC,Connecticut,black,2017.0,Return,4,27,3,15,0.0
2021,donyell-marshall-1,Donyell Marshall,Central Conn. St.,5-13 NEC,5,#FFFFFF,#000000,4,NEC,Connecticut,black,2017.0,Resigned,5,16,5,13,0.0
2022,donyell-marshall-1,Donyell Marshall,Central Conn. St.,Resigned,0,#FFFFFF,#000000,0,NEC,Connecticut,white,2017.0,Last,,,,,
2007,doug-davalos-1,Doug Davalos,Texas St.,4-12 SLC,9,#FFFFFF,#000000,4,Southland,Texas,black,2007.0,Return,9,20,4,12,0.0
2008,doug-davalos-1,Doug Davalos,Texas St.,6-10 SLC,13,#FFFFFF,#000000,4,Southland,Texas,black,2007.0,Return,13,16,6,10,0.0
2009,doug-davalos-1,Doug Davalos,Texas St.,7-9 SLC,14,#FFFFFF,#000000,4,Southland,Texas,black,2007.0,Return,14,16,7,9,0.0
2010,doug-davalos-1,Doug Davalos,Texas St.,9-7 SLC,15,#FFFFFF,#000000,4,Southland,Texas,black,2007.0,Return,15,16,9,7,0.0
2011,doug-davalos-1,Doug Davalos,Texas St.,10-6 SLC,16,#FFFFFF,#000000,4,Southland,Texas,black,2007.0,Return,16,16,10,6,0.0
2012,doug-davalos-1,Doug Davalos,Texas St.,5-11 SLC,13,#FFFFFF,#000000,4,Southland,Texas,black,2007.0,Return,13,17,5,11,0.0
2013,doug-davalos-1,Doug Davalos,Texas St.,5-13 WAC,12,#FFFFFF,#000000,4,WAC,Texas,black,2007.0,Fired,12,22,5,13,0.0
2014,doug-davalos-1,Doug Davalos,Texas St.,Fired,0,#FFFFFF,#000000,0,WAC,Texas,white,2007.0,Last,,,,,
2026,doug-davenport-1,Doug Davenport,Bellarmine,3-6 ASun,8,#FFFFFF,#000000,4,A-Sun,Kentucky,black,2026.0,Last,8,13,3,6,0.0
1995,doug-durham-1,Doug Durham,Ga. Southern,3-11 SoCon,7,#FFFFFF,#000000,4,Southern,Georgia,black,1995.0,Unknown,7,20,3,11,0.0
1996,doug-durham-1,Doug Durham,Ga. Southern,?,0,#FFFFFF,#000000,0,Southern,Georgia,white,1995.0,Last,,,,,
2025,doug-gottlieb-1,Doug Gottlieb,Green Bay,2-18 Hrz,4,#FFFFFF,#000000,4,Horizon,Wisconsin,black,2025.0,Return,4,28,2,18,0.0
2026,doug-gottlieb-1,Doug Gottlieb,Green Bay,7-4 Hrz,12,#FFFFFF,#000000,4,Horizon,Wisconsin,black,2025.0,Last,12,10,7,4,0.0
2003,doug-noll-1,Doug Noll,Purdue Fort Wayne,9-21,9,#FFFFFF,#000000,4,Ind,Indiana,black,2003.0,Return,9,21,,,0.0
2004,doug-noll-1,Doug Noll,Purdue Fort Wayne,3-25,3,#FFFFFF,#000000,4,Ind,Indiana,black,2003.0,Return,3,25,,,0.0
2005,doug-noll-1,Doug Noll,Purdue Fort Wayne,3-13,3,#FFFFFF,#000000,4,Ind,Indiana,black,2003.0,Fired,3,13,,,0.0
2006,doug-noll-1,Doug Noll,Purdue Fort Wayne,Fired,0,#FFFFFF,#000000,0,Ind,Indiana,white,2003.0,Last,,,,,
1999,doug-oliver-1,Doug Oliver,Idaho St.,4-12 BSky,6,#FFFFFF,#000000,4,Big Sky,Idaho,black,1999.0,Return,6,20,4,12,0.0
2000,doug-oliver-1,Doug Oliver,Idaho St.,3-13 BSky,8,#FFFFFF,#000000,4,Big Sky,Idaho,black,1999.0,Return,8,19,3,13,0.0
2001,doug-oliver-1,Doug Oliver,Idaho St.,10-6 BSky,14,#FFFFFF,#000000,4,Big Sky,Idaho,black,1999.0,Return,14,14,10,6,0.0
2002,doug-oliver-1,Doug Oliver,Idaho St.,3-11 BSky,10,#FFFFFF,#000000,4,Big Sky,Idaho,black,1999.0,Return,10,17,3,11,0.0
2003,doug-oliver-1,Doug Oliver,Idaho St.,7-7 BSky,15,#FFFFFF,#000000,4,Big Sky,Idaho,black,1999.0,Return,15,14,7,7,0.0
2004,doug-oliver-1,Doug Oliver,Idaho St.,7-7 BSky,13,#FFFFFF,#000000,4,Big Sky,Idaho,black,1999.0,Return,13,18,7,7,0.0
2005,doug-oliver-1,Doug Oliver,Idaho St.,3-11 BSky,9,#FFFFFF,#000000,4,Big Sky,Idaho,black,1999.0,Return,9,18,3,11,0.0
2006,doug-oliver-1,Doug Oliver,Idaho St.,4-10 BSky,13,#FFFFFF,#000000,4,Big Sky,Idaho,black,1999.0,Resigned,13,14,4,10,0.0
2007,doug-oliver-1,Doug Oliver,Idaho St.,Resigned,0,#FFFFFF,#000000,0,Big Sky,Idaho,white,1999.0,Last,,,,,
2013,doug-wojcik-1,Doug Wojcik,Col. of Charleston,14-4 SoCon,24,#FFFFFF,#000000,4,Southern,South Carolina,black,2013.0,Return,24,11,14,4,0.0
2014,doug-wojcik-1,Doug Wojcik,Col. of Charleston,6-10 CAA,14,#FFFFFF,#000000,4,CAA,South Carolina,black,2013.0,Scandal,14,18,6,10,0.0
2015,doug-wojcik-1,Doug Wojcik,Col. of Charleston,Conduct (alleged),0,#FFFFFF,#000000,0,CAA,South Carolina,white,2013.0,Last,,,,,
2006,doug-wojcik-1,Doug Wojcik,Tulsa,6-8 CUSA,11,#FFFFFF,#000000,4,CUSA,Oklahoma,black,2006.0,Return,11,17,6,8,0.0
2007,doug-wojcik-1,Doug Wojcik,Tulsa,9-7 CUSA,20,#FFFFFF,#000000,4,CUSA,Oklahoma,black,2006.0,Return,20,11,9,7,0.0
2008,doug-wojcik-1,Doug Wojcik,Tulsa,8-8 CUSA,25,#FFFFFF,#000000,4,CUSA,Oklahoma,black,2006.0,Return,25,14,8,8,0.0
2009,doug-wojcik-1,Doug Wojcik,Tulsa,12-4 CUSA,25,#FFFFFF,#000000,4,CUSA,Oklahoma,black,2006.0,Return,25,11,12,4,0.0
2010,doug-wojcik-1,Doug Wojcik,Tulsa,10-6 CUSA,23,#FFFFFF,#000000,4,CUSA,Oklahoma,black,2006.0,Return,23,12,10,6,0.0
2011,doug-wojcik-1,Doug Wojcik,Tulsa,11-5 CUSA,19,#FFFFFF,#000000,4,CUSA,Oklahoma,black,2006.0,Return,19,13,11,5,0.0
2012,doug-wojcik-1,Doug Wojcik,Tulsa,10-6 CUSA,17,#FFFFFF,#000000,4,CUSA,Oklahoma,black,2006.0,Fired,17,14,10,6,0.0
2013,doug-wojcik-1,Doug Wojcik,Tulsa,Fired,0,#FFFFFF,#000000,0,CUSA,Oklahoma,white,2006.0,Last,,,,,
1937,douglas-mills-1,Douglas Mills,Illinois,10-2 B1G,14,#FFFFFF,#000000,4,Big Ten,Illinois,black,1937.0,Return,14,4,10,2,0.0
1938,douglas-mills-1,Douglas Mills,Illinois,4-8 B1G,9,#FFFFFF,#000000,4,Big Ten,Illinois,black,1937.0,Return,9,9,4,8,0.0
1939,douglas-mills-1,Douglas Mills,Illinois,8-4 B1G,14,#FFFFFF,#000000,4,Big Ten,Illinois,black,1937.0,Return,14,5,8,4,0.0
1940,douglas-mills-1,Douglas Mills,Illinois,7-5 B1G,14,#FFFFFF,#000000,4,Big Ten,Illinois,black,1937.0,Return,14,6,7,5,0.0
1941,douglas-mills-1,Douglas Mills,Illinois,7-5 B1G,13,#FFFFFF,#000000,4,Big Ten,Illinois,black,1937.0,Return,13,7,7,5,0.0
1942,douglas-mills-1,Douglas Mills,Illinois,"13-2 B1G
Elite 8",43,#FF5F05,#13294B,4,Big Ten,Illinois,black,1937.0,Return,18,5,13,2,0.25
1943,douglas-mills-1,Douglas Mills,Illinois,12-0 B1G,17,#FFFFFF,#000000,4,Big Ten,Illinois,black,1937.0,Return,17,1,12,0,0.0
1944,douglas-mills-1,Douglas Mills,Illinois,5-7 B1G,11,#FFFFFF,#000000,4,Big Ten,Illinois,black,1937.0,Return,11,9,5,7,0.0
1945,douglas-mills-1,Douglas Mills,Illinois,7-5 B1G,13,#FFFFFF,#000000,4,Big Ten,Illinois,black,1937.0,Return,13,7,7,5,0.0
1946,douglas-mills-1,Douglas Mills,Illinois,7-5 B1G,14,#FFFFFF,#000000,4,Big Ten,Illinois,black,1937.0,Return,14,7,7,5,0.0
1947,douglas-mills-1,Douglas Mills,Illinois,8-4 B1G,14,#FFFFFF,#000000,4,Big Ten,Illinois,black,1937.0,Last,14,6,8,4,0.0
1956,doyle-parrack-1,Doyle Parrack,Oklahoma,1-12 B7,4,#FFFFFF,#000000,4,Big 7,Oklahoma,black,1956.0,Return,4,19,1,12,0.0
1957,doyle-parrack-1,Doyle Parrack,Oklahoma,3-9 B7,8,#FFFFFF,#000000,4,Big 7,Oklahoma,black,1956.0,Return,8,15,3,9,0.0
1958,doyle-parrack-1,Doyle Parrack,Oklahoma,6-7 B8,13,#FFFFFF,#000000,4,Big 8,Oklahoma,black,1956.0,Return,13,10,6,7,0.0
1959,doyle-parrack-1,Doyle Parrack,Oklahoma,10-6 B8,15,#FFFFFF,#000000,4,Big 8,Oklahoma,black,1956.0,Return,15,10,10,6,0.0
1960,doyle-parrack-1,Doyle Parrack,Oklahoma,9-6 B8,14,#FFFFFF,#000000,4,Big 8,Oklahoma,black,1956.0,Return,14,11,9,6,0.0
1961,doyle-parrack-1,Doyle Parrack,Oklahoma,3-13 B8,10,#FFFFFF,#000000,4,Big 8,Oklahoma,black,1956.0,Return,10,15,3,13,0.0
1962,doyle-parrack-1,Doyle Parrack,Oklahoma,5-10 B8,7,#FFFFFF,#000000,4,Big 8,Oklahoma,black,1956.0,Resigned,7,17,5,10,0.0
1963,doyle-parrack-1,Doyle Parrack,Oklahoma,Resigned,0,#FFFFFF,#000000,0,Big 8,Oklahoma,white,1956.0,Last,,,,,
1956,doyle-parrack-1,,Oklahoma City,Oklahoma,0,#FFFFFF,#000000,0,,,white,,Last,,,,,
2022,drew-valentine-1,Drew Valentine,Loyola Chicago,"13-5 MVC
NCAA 64",35,#8D0034,#FEBC18,4,MVC,Illinois,black,2022.0,Return,25,8,13,5,0.1
2023,drew-valentine-1,Drew Valentine,Loyola Chicago,4-14 A10,10,#FFFFFF,#000000,4,A-10,Illinois,black,2022.0,Return,10,21,4,14,0.0
2024,drew-valentine-1,Drew Valentine,Loyola Chicago,15-3 A10,23,#FFFFFF,#000000,4,A-10,Illinois,black,2022.0,Return,23,10,15,3,0.0
2025,drew-valentine-1,Drew Valentine,Loyola Chicago,12-6 A10,25,#FFFFFF,#000000,4,A-10,Illinois,black,2022.0,Return,25,12,12,6,0.0
2026,drew-valentine-1,Drew Valentine,Loyola Chicago,1-8 A10,5,#FFFFFF,#000000,4,A-10,Illinois,black,2022.0,Last,5,17,1,8,0.0
2025,dru-joyce-1,Dru Joyce III,Duquesne,8-10 A10,13,#FFFFFF,#000000,4,A-10,Pennsylvania,black,2025.0,Return,13,19,8,10,0.0
2026,dru-joyce-1,Dru Joyce III,Duquesne,3-5 A10,11,#FFFFFF,#000000,4,A-10,Pennsylvania,black,2025.0,Last,11,10,3,5,0.0
2007,duane-reboul-1,,Birmingham-S,School left D1,0,#FFFFFF,#000000,0,,,white,,Last,,,,,
2024,duane-simpkins-1,Duane Simpkins,American,10-8 Pat,16,#FFFFFF,#000000,4,Patriot,D.C.,black,2024.0,Return,16,16,10,8,0.0
2025,duane-simpkins-1,Duane Simpkins,American,"13-5 Pat
NCAA 68",27,#004FA2,#FFFFFF,4,Patriot,D.C.,black,2024.0,Return,22,13,13,5,0.05
2026,duane-simpkins-1,Duane Simpkins,American,6-3 Pat,13,#FFFFFF,#000000,4,Patriot,D.C.,black,2024.0,Last,13,9,6,3,0.0
1946,duce-belford-1,Duce Belford,Creighton,3-7 MVC,9,#FFFFFF,#000000,4,MVC,Nebraska,black,1946.0,Return,9,10,3,7,0.0
1948,duce-belford-1,Duce Belford,Creighton,4-6 MVC,10,#FFFFFF,#000000,4,MVC,Nebraska,black,1946.0,Return,10,13,4,6,0.0
1949,duce-belford-1,Duce Belford,Creighton,9-14,9,#FFFFFF,#000000,4,Ind,Nebraska,black,1946.0,Return,9,14,,,0.0
1950,duce-belford-1,Duce Belford,Creighton,13-13,13,#FFFFFF,#000000,4,Ind,Nebraska,black,1946.0,Return,13,13,,,0.0
1951,duce-belford-1,Duce Belford,Creighton,9-18,9,#FFFFFF,#000000,4,Ind,Nebraska,black,1946.0,Return,9,18,,,0.0
1952,duce-belford-1,Duce Belford,Creighton,6-15,6,#FFFFFF,#000000,4,Ind,Nebraska,black,1946.0,Last,6,15,,,0.0
1956,duck-dowell-1,Duck Dowell,Pepperdine,0-14 CBA,2,#FFFFFF,#000000,4,CBA,California,black,1956.0,Return,2,23,0,14,0.0
1957,duck-dowell-1,Duck Dowell,Pepperdine,2-12 WCAC,7,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Return,7,18,2,12,0.0
1958,duck-dowell-1,Duck Dowell,Pepperdine,5-7 WCAC,15,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Return,15,11,5,7,0.0
1959,duck-dowell-1,Duck Dowell,Pepperdine,9-4 WCAC,16,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Return,16,8,9,4,0.0
1960,duck-dowell-1,Duck Dowell,Pepperdine,6-6 WCAC,14,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Return,14,11,6,6,0.0
1961,duck-dowell-1,Duck Dowell,Pepperdine,4-9 WCAC,9,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Return,9,16,4,9,0.0
1962,duck-dowell-1,Duck Dowell,Pepperdine,"9-3 WCAC
Sweet 16",40,#00205C,#FFFFFF,4,WCAC,California,black,1956.0,Return,20,7,9,3,0.2
1963,duck-dowell-1,Duck Dowell,Pepperdine,7-5 WCAC,14,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Return,14,11,7,5,0.0
1964,duck-dowell-1,Duck Dowell,Pepperdine,2-11 WCAC,6,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Return,6,19,2,11,0.0
1965,duck-dowell-1,Duck Dowell,Pepperdine,2-13 WCAC,6,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Return,6,19,2,13,0.0
1966,duck-dowell-1,Duck Dowell,Pepperdine,1-14 WCAC,2,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Return,2,24,1,14,0.0
1967,duck-dowell-1,Duck Dowell,Pepperdine,4-10 WCAC,9,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Return,9,17,4,10,0.0
1968,duck-dowell-1,Duck Dowell,Pepperdine,2-10 WCAC,9,#FFFFFF,#000000,4,WCAC,California,black,1956.0,Unknown,9,17,2,10,0.0
1969,duck-dowell-1,Duck Dowell,Pepperdine,?,0,#FFFFFF,#000000,0,WCAC,California,white,1956.0,Last,,,,,
1967,duddy-waller-1,Duddy Waller,Arkansas,4-10 SWC,6,#FFFFFF,#000000,4,SWC,Arkansas,black,1967.0,Return,6,17,4,10,0.0
1968,duddy-waller-1,Duddy Waller,Arkansas,7-7 SWC,10,#FFFFFF,#000000,4,SWC,Arkansas,black,1967.0,Return,10,14,7,7,0.0
1969,duddy-waller-1,Duddy Waller,Arkansas,4-10 SWC,10,#FFFFFF,#000000,4,SWC,Arkansas,black,1967.0,Return,10,14,4,10,0.0
1970,duddy-waller-1,Duddy Waller,Arkansas,3-11 SWC,5,#FFFFFF,#000000,4,SWC,Arkansas,black,1967.0,Unknown,5,19,3,11,0.0
1971,duddy-waller-1,Duddy Waller,Arkansas,?,0,#FFFFFF,#000000,0,SWC,Arkansas,white,1967.0,Last,,,,,
1949,dudey-moore-1,Dudey Moore,Duquesne,17-5,17,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1949.0,Return,17,5,,,0.0
1950,dudey-moore-1,Dudey Moore,Duquesne,23-6,23,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1949.0,Return,23,6,,,0.0
1951,dudey-moore-1,Dudey Moore,Duquesne,16-11,16,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1949.0,Return,16,11,,,0.0
1952,dudey-moore-1,Dudey Moore,Duquesne,"23-4
Elite 8",48,#012169,#FFFFFF,4,Ind,Pennsylvania,black,1949.0,Return,23,4,,,0.25
1953,dudey-moore-1,Dudey Moore,Duquesne,21-8,21,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1949.0,Return,21,8,,,0.0
1954,dudey-moore-1,Dudey Moore,Duquesne,26-3,26,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1949.0,Return,26,3,,,0.0
1955,dudey-moore-1,Dudey Moore,Duquesne,22-4,22,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1949.0,Return,22,4,,,0.0
1956,dudey-moore-1,Dudey Moore,Duquesne,17-10,17,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1949.0,Return,17,10,,,0.0
1957,dudey-moore-1,Dudey Moore,Duquesne,16-7,16,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1949.0,Return,16,7,,,0.0
1958,dudey-moore-1,Dudey Moore,Duquesne,10-12,10,#FFFFFF,#000000,4,Ind,Pennsylvania,black,1949.0,Left,10,12,,,0.0
1959,dudey-moore-1,Dudey Moore,Duquesne,La Salle,0,#FFFFFF,#000000,0,Ind,Pennsylvania,white,1949.0,Last,,,,,
1959,dudey-moore-1,Dudey Moore,La Salle,5-2 MidA,16,#FFFFFF,#000000,4,Mid-Atl,Pennsylvania,black,1959.0,Return,16,7,5,2,0.0
1960,dudey-moore-1,Dudey Moore,La Salle,6-1 MidA,16,#FFFFFF,#000000,4,Mid-Atl,Pennsylvania,black,1959.0,Return,16,6,6,1,0.0
1961,dudey-moore-1,Dudey Moore,La Salle,7-2 MidA,15,#FFFFFF,#000000,4,Mid-Atl,Pennsylvania,black,1959.0,Return,15,7,7,2,0.0
1962,dudey-moore-1,Dudey Moore,La Salle,5-3 MidA,16,#FFFFFF,#000000,4,Mid-Atl,Pennsylvania,black,1959.0,Return,16,9,5,3,0.0
1963,dudey-moore-1,Dudey Moore,La Salle,8-1 MidA,16,#FFFFFF,#000000,4,Mid-Atl,Pennsylvania,black,1959.0,Retired,16,8,8,1,0.0
1964,dudey-moore-1,Dudey Moore,La Salle,Retired,0,#FFFFFF,#000000,0,Mid-Atl,Pennsylvania,white,1959.0,Last,,,,,
1919,dudy-noble-1,Dudy Noble,Ole Miss,0-3,0,#FFFFFF,#000000,4,Ind,Mississippi,black,1919.0,Last,0,3,,,0.0
2016,duggar-baucom-1,Duggar Baucom,The Citadel,3-15 SoCon,10,#FFFFFF,#000000,4,Southern,South Carolina,black,2016.0,Return,10,22,3,15,0.0
2017,duggar-baucom-1,Duggar Baucom,The Citadel,4-14 SoCon,12,#FFFFFF,#000000,4,Southern,South Carolina,black,2016.0,Return,12,21,4,14,0.0
2018,duggar-baucom-1,Duggar Baucom,The Citadel,5-13 SoCon,11,#FFFFFF,#000000,4,Southern,South Carolina,black,2016.0,Return,11,21,5,13,0.0
2019,duggar-baucom-1,Duggar Baucom,The Citadel,4-14 SoCon,12,#FFFFFF,#000000,4,Southern,South Carolina,black,2016.0,Return,12,18,4,14,0.0
2020,duggar-baucom-1,Duggar Baucom,The Citadel,0-18 SoCon,6,#FFFFFF,#000000,4,Southern,South Carolina,black,2016.0,Return,6,24,0,18,0.0
2021,duggar-baucom-1,Duggar Baucom,The Citadel,5-11 SoCon,13,#FFFFFF,#000000,4,Southern,South Carolina,black,2016.0,Return,13,12,5,11,0.0
2022,duggar-baucom-1,Duggar Baucom,The Citadel,6-12 SoCon,13,#FFFFFF,#000000,4,Southern,South Carolina,black,2016.0,Fired,13,18,6,12,0.0
